khāṁṛ-,khaṇḍate
khāṁsī,kāsikā
khāī,khātikā
khāū,khāduka
khāj,kharju
khājā,khādya
khāṭ,khaṭvā
khāt,khātra
khātā,kṣatra
khātī,kṣattr̥
khād,khātikā
khān,khāni
khānvāṁ,khāni
khānā,khādati
khām,skambha
khār,kṣāra
khārā,kṣāra
khāl,khalla
khāl,khalla
khiṛkī,khaḍakkikā
khiyānā,kṣīyate
khirnī,kṣīriṇī
khirisā,kṣīraśāka
khījnā,kṣīyate
khīr,kṣīra
khīl,khīla
khuṁdalnā,kṣundati
khujlī,kharju
khujānā,kharju
khuddī,kṣudra
khur,khura
khurpā,kṣurapra
khūd,kṣudra
kheṛā,kheṭa
khet,kṣetra
khetī,kṣetriya
khenā,kṣepayati
khep,kṣepya
khevaṭ,kevarta
khevā,kṣepaka
khevā,kṣepa
khai,kṣati
khair,khadira
khairā,khadiraka
khoā,kṣoda
khoī,kṣapita
khoḍar,koṭara
khonā,kṣapayati
khorā,khora
gaṅg,gaṅgā
gaṇḍā,gaṇḍaka
gaṇḍī,gaṇḍikā
gagrā,gargara
gagrī,gargara
gajrā,gārjara
gajjhā,grāhya
gaṭṭhā,grathna
gaṭṭhī,grathna
gaṛh,gaḍha
gat,gati
gattā,gātraka
gadhā,gardabha
gadhī,gardabha
gannā,gaṇḍa
gabrū,garbharūpa
gabbhā,garbha
gayand,gajendra
gayā,gata
garal,garala
garuā,guru
galnā,galati
galā,gala
gavan,gamana
gah,graha
gahan,grahaṇa
gahnā,grahaṇa
gahrā,gabhīra
gāṁjā,gañjā
gāṁṭh,granthi
gāṁṭhnā,granthayate
gāṁṛ,gaṇḍa
gāṁṛū,gaṇḍa
gāṁdhī,gāndhika
gāṁv,grāma
gāgar,gargara
gāj,garjā
gājnā,garjati
gājar,gārjara
gāḍar,gaḍḍara
gāṛhā,gāḍha
gāt,gātra
gān,gāna
gānā,gāpayati
gāb,garbha
gābh,garbha
gābhin,garbhiṇī
gām,grāma
-gāmī,gāmin
gāy,gāvī
gārnā,gālayati
gāruṛ,gāruḍa
gāruṛī,gāruḍika
gāl,galla
gālī,gāli
gāh,grāha
gāhnā,gāhate
gāhnā,grāhayati
gāhā,gāthā
gāhī,grāha
giddh,gr̥dhra
ginnā,gaṇayati
gilnā,gilati
giloy,guḍūcī
guñ,guñja
guggul,gulgulu
gucchā,guccha
gujjhā,guhya
guṛ,guḍa
guṇā,guṇaka
gudā,guda
gunnā,guṇayati
gunā,guṇaka
gubhnā,cubhyate
guriyā,guḍikā
gulgulī,guḍa
gullā,guḍa
guh,gūtha
guh-,guphati
gūṁj,guñja
gūṁjnā,guñjati
gūṁthnā,guphati
gūṁdhnā,guphati
gū,gūtha
gūgal,gulgulu
gūjar,gurjara
geṁḍuā,geṇḍuka
geṇḍuā,gaṇḍūpada
geṁd,genduka
geṁdā,genduka
gainā,grahaṇa
goṁḍ,goṇḍa
goṁd,gundra
goṁdī,gundra
go,go
goiṁṭhā,goviṣṭhā
gokhrū,gokṣura
got,gotra
gotā,gotra
gotī,gotrin
gon,goṇī
gopī,gopikā
gobar,gorvara
gobhī,gojihvikā
gorkhā,gorakṣa
gorā,gaura
gorū,gorūpa
gol,gola
gol,gola
golā,gola
golī,golikā
gov-,gopayati
govā,gomaya
gosāīṁ,gosvāmin
goh,godhā
gohūṁ,godhūma
gauṁ,gama
gaukh,gavākṣa
gauṛī,gauḍa
gaun,gamana
gaunā,gamana
gaur,gaurī
gvār,gopālī
gvālā,gopāla
ghaṇṭā,ghaṇṭā
ghaṇṭī,ghaṇṭā
ghaṛā,ghaṭa
ghaṛī,ghaṭikā
ghaṛī,ghaṭita
ghan,ghana
ghanā,ghana
ghar,ghara
ghāghrā,ghargharī
ghāṭ,ghaṭṭa
ghām,gharma
ghāv,ghāta
ghās,ghāsa
ghin,ghr̥ṇā
ghisnā,ghr̥ṣyate
ghī,ghr̥ta
ghīkuvāṁr,ghr̥ta
ghun,ghuṇa
ghurghurānā,ghuraghurāyate
ghevar,ghr̥tapūra
ghoṁghā,ghoṅgha
ghoṛā,ghoṭaka
ghoṛī,ghoṭa
gholnā,gholayati
caṅgā,caṅga
caṁdvā,candrodaya
candā,candra
campā,campaka
caṁvar,camara
cakaī,cakravāka
cakḍor,cakra
cakvaṁṛ,cakramarda
cakvā,cakravāka
cakkā,cakra
cakkī,cakra
cacīṁṛā,ciciṇḍa
canā,caṇa
camār,carmakāra
camoṭā,carmapaṭṭa
carnā,carati
carnā,caraṇa
cal,cara
calnā,calati
cavālīs,catuścatvāriṁśat
cāṁcari,carcarī
cāṁṛ,caṇḍa
cāṁd,candra
cāṁd,candra
cāṁdī,candrikā
cāk,cakra
cākh,cakṣus
cācari,carcarī
cāpaṛ,carpaṭa
cābnā,carvati
cābhnā,carvati
cām,carman
cār,cāra
cārā,cāra
cāl,cāla
cālnā,cālayati
cālīs,catvāriṁśat
cāhā,cāṣa
ciknā,cikkaṇa
cikārā,chikkāra
cikārā,cītkāra
ciṛvā,cipiṭa
citkabrā,citra
citlā,citrala
citerā,citrakara
citt,citta
cittarsārī,citraśālikā
cittī,citra
cinnā,cinoti
ciniyā,cūrṇita
cirātan,cirantana
civānā,citādhāna
cihānā,citādhāna
cīṛ,cīḍā
cītnā,citrayati
cītal,citrala
cītā,citraka
cītā,citta
cīn,cīna
cīnā,cīnaka
cīnā,cīnaka
cīnhnā,cihnayati
cīr,cīra
cīrā,cīra
cīrā,cīra
cīl,cillā
cīlaṛ,cillaḍa
cīlh,cillā
cundhā,culla
cumbā,cumbā̆
cunnā,cinoti
cummā,cumbā̆
curī,cūḍa
cullū,culu
cūṁṭ-,cuṇṭati
cūk,cukra
cūkā,cukra
cūṛā,cūḍa
cūṛā,cūḍa
cūṛāl,cūḍāla
cūṛī,cūḍa
cūn,cūrṇa
cūnā,cūrṇa
cūnī,cūrṇa
cūmnā,cumbati
cūmani,cumbana
cūmā,cumbā̆
cūl,cūḍa
cūl,cūḍa
cūlhā,cullī
cūsnā,cūṣati
cerā,ceṭa
cerī,ceṭa
cait,caitra
cokhā,cokṣa
coj,codya
cor,cora
corī,caurikā
colā,coḍa
cauṁtīs,catustriṁśat
cauṁrī,camara
cauṁsaṭh,catuḥṣaṣṭi
cau-,catur
cauk,catuṣḳa
caukannā,catuṣkarṇa
caukā,catuṣka
caukī,catuṣka
cauth,caturtha
cauthā,caturtha
caudah,caturdaśa
caupaī,catuṣpadikā
caupaṛ,catuṣpuṭa
caubīs,caturviṁśati
caube,caturveda
cauraṅg,caturaṅga
cauras,caturaśra
caurā,catura
caurānve,caturnavati
caurāsī,caturaśīti
caurāsī,caturaśra
cauvan,catuṣpañcāśat
cauhattar,catuḥsaptati
chaṅgā,ṣaḍaṅga
chakkā,ṣaṭka
chachūṁdar,chucchundari
chajjā,chādya
chaṭh,ṣaṣṭhī
chaṭhā,ṣaṣṭha
chatāṁ,ākṣeti
chattar,chattvara
chattā,chattra
chattīs,ṣattriṁśat
chatrā,chattvara
chaprā,chattvara
chappan,ṣaṭpañcāśat
chappay,ṣaṭpada
chappar,chattvara
chabbīs,ṣadviṁśati
chal,chala
chalnā,chalayati
chalnī,cālana
chāṁh,chāyā
chāīṁ,chāyā
chāī,chādi
chāṛnā,chardati
chāt,chattra
chātā,chattra
chānā,chādayati
chār,kṣāra
chāl,challi
chālā,challi
chāvan,chādana
chāvnī,chādana
chiyānve,ṣaṇṇavati
chiyālīs,ṣaṭcatvāriṁśat
chiyāsaṭh,ṣaṭṣaṣṭi
chiyāsī,ṣaḍaśīti
chihattar,ṣaṭsaptati
chīṁk,chikkā
chī-,chupati
chījnā,chidyate
chīdā,chidra
churā,kṣura
churī,kṣurikā
chūch,tucchya
chūchā,tucchya
chūnā,chupati
ched,chidra
chenī,chedana
cher,chagala
cherī,chagalikā
chev,cheda
chevā,cheda
chailā,chavilla
choṛnā,kṣoṭayati
chor-,chorayati
jaṅgal,jaṅgala
jandrā,yantra
jaṁbhānā,jr̥mbhate
jaṭherā,jyeṣṭhatara
jaṛ,jaṭā
jaṛ,jaḍa
jaṛul,jaṭula
jan,jana
jannā,janayati
janā,jana
jani,yathā na
janī,jani
janeū,yajñopavīta
janet,janyayātrā
jamnā,yamyate
jamāī,jāmātr̥
jay,jaya
jar,jvara
jarnā,jvarati
jal,jala
jalandhar,jalaṁ
jalnā,jvalati
jalhar,jaladhara
javāṁ,yamaka
javā,yavaka
javārā,yavākāra
javāsā,yavāsaka
jasovai,yaśomatī
jāṁgh,jaṅghā
jāṁc,yācnā
jāṁcnā,yācyate
jāṁt,yantra
jāṁtā,yantraka
jāṁb,jamba
jākh,yakṣa
jākhinī,yakṣiṇī
jāgnā,jāgrati
jāgā,jāgrat
jāṭh,yaṣṭi
jāṛā,jāḍya
